pickup_date,day of week,avg fares,total fares,tip percentage,duration,frequency_of_rides,avg trip distance,tip amount avg,avg passengers,sum of passengers,avg fare per mile,Bronx_Pickups,Brooklyn_Pickups,EWR_Pickups,Manhattan_Pickups,Queens_Pickups,Staten Island_Pickups,Unknown_Pickups,Bronx_Dropoffs,Brooklyn_Dropoffs,EWR_Dropoffs,Manhattan_Dropoffs,Queens_Dropoffs,Staten Island_Dropoffs,Unknown_Dropoffs
2014-01-01,Wednesday,12.76815863551172,5293333.83,9.496572219780063,11.313881471618588,414573,3.3462472230463636,1.212537405957455,1.8300612919799408,758694,5.136335193601506,939.0,23633.0,7.0,359006.0,26418.0,9.0,4374.0,4245.0,35266.0,965.0,338414.0,30100.0,138.0,4366.0
2014-01-02,Thursday,11.628049267343657,4136004.1,10.072117433345872,11.64712321334188,355692,2.8444099108217222,1.1711907774141672,1.7308739021400537,615658,5.643090034176742,209.0,5972.0,8.0,325354.0,20081.0,5.0,3946.0,1583.0,13638.0,877.0,317491.0,17601.0,50.0,3911.0
2014-01-03,Friday,11.814270942880047,3212938.24,10.233990367645534,12.605550325912962,271954,2.855969318340602,1.2090713503018893,1.7784698882899315,483662,5.730145752998326,282.0,6335.0,7.0,244618.0,17624.0,3.0,2995.0,1299.0,13504.0,596.0,238808.0,14169.0,53.0,2979.0
2014-01-04,Saturday,11.652070647175565,4814402.55,10.425806209329131,11.98354845345854,413180,2.791003727189118,1.214822305048647,1.7882932378140277,738887,5.685688611911078,220.0,13031.0,5.0,374740.0,20138.0,19.0,4904.0,1959.0,23841.0,598.0,362596.0,18558.0,76.0,4894.0
2014-01-05,Sunday,12.124447517196261,4651653.41,10.976544144547518,11.485255005095672,383659,3.0838751599727883,1.330845334007543,1.7499863159732991,671398,5.352976959739182,255.0,13252.0,6.0,343156.0,22570.0,14.0,4284.0,2175.0,25811.0,716.0,327188.0,22658.0,88.0,4252.0
2014-01-06,Monday,12.191811559320124,4761414.47,11.660788059897671,12.333428926978405,390542,2.968524537693769,1.421661306594425,1.6642742649958262,649969,5.729605146239889,201.0,7091.0,4.0,352351.0,26214.0,1.0,4532.0,1946.0,18141.0,643.0,344742.0,19671.0,77.0,4462.0
2014-01-07,Tuesday,11.33680203302678,5150286.49,12.07178515616905,11.619707805596033,454298,2.646141981694835,1.368554385007198,1.6723868473997243,759762,5.945906382624908,197.0,8081.0,5.0,418282.0,21569.0,24.0,6040.0,1848.0,20542.0,507.0,405582.0,18999.0,96.0,5974.0
2014-01-08,Wednesday,11.466565540022263,5366662.27,12.233128841923566,11.974298776210205,468027,2.6448269223784098,1.4027197362545323,1.6681366673290217,780733,5.985527629001645,199.0,8751.0,3.0,432950.0,20375.0,2.0,5600.0,1796.0,21392.0,458.0,419605.0,18357.0,61.0,5559.0
2014-01-09,Thursday,11.790043898674606,5591711.28,12.331606649047158,12.380567316220864,474274,2.7339601580520965,1.4539018373345365,1.6785929652479368,796113,5.930072269724026,211.0,9067.0,4.0,438437.0,20809.0,2.0,5561.0,2022.0,23133.0,451.0,422334.0,19767.0,98.0,5513.0
2014-01-10,Friday,11.805261304692257,5930986.89,12.073052314570198,12.846206590207311,502402,2.6984525937396744,1.4252553731872086,1.696080031528537,852114,6.01219198413026,213.0,11141.0,2.0,464496.0,20444.0,3.0,5869.0,2253.0,25133.0,503.0,447380.0,20246.0,85.0,5901.0
